year,month,sst,chlorophyll_a,rainfall,wind_speed,actual_mackerel_ton,predicted_mackerel_ton,error_ton,absolute_error_ton
2565,1,28.07,5.07,17.79999924,14.81612873,4.0,8.330495937609578,4.330495937609578,4.330495937609578
2565,2,29.27,4.7,99.99999999,16.39642906,7.0,5.0,-2.0,2.0
2565,3,30.13,9.62,75.69999695,17.58064461,23.0,6.451864619758846,-16.548135380241156,16.548135380241156
2565,4,31.05,7.32,54.20000076,17.23666573,7.0,5.9026918771700245,-1.0973081228299755,1.0973081228299755
2565,5,30.46,9.04,99.99999999,18.97096825,17.0,8.5,-8.5,8.5
2565,6,30.73,13.73,65.80000305,19.20999908,5.0,8.448408576755554,3.448408576755554,3.448408576755554
2565,7,30.02,7.98,99.99999999,19.11290359,21.0,16.385610962692926,-4.614389037307074,4.614389037307074
2565,8,29.24,12.26,99.99999999,18.5,35.0,15.530136330999577,-19.469863669000425,19.469863669000425
2565,9,29.71,13.34,99.99999999,15.27000046,23.0,20.503984320871087,-2.496015679128913,2.496015679128913
2565,10,29.48,2.65,99.99999999,14.05483913,47.0,28.490990742773743,-18.509009257226257,18.509009257226257
2565,11,29.76,7.5,99.99999999,13.52666664,21.0,7.5566995117005025,-13.443300488299498,13.443300488299498
2565,12,27.46,4.01,6.5,16.28064537,25.0,19.993744653993918,-5.006255346006082,5.006255346006082
2566,1,27.34,3.45,10.5,16.72903252,7.0,9.673276139722635,2.673276139722635,2.673276139722635
2566,2,25.86,6.04,31.10000038,18.29285622,4.0,7.0,3.0,3.0
2566,3,28.69,5.13,13.0,19.89354897,3.0,16.949964263441572,13.949964263441572,13.949964263441572
2566,4,30.21,7.13,48.29999924,20.53333282,4.0,8.771067219166815,4.771067219166815,4.771067219166815
2566,5,30.97,6.2,67.5,19.36128998,5.0,14.75,9.75,9.75
2566,6,30.13,8.09,99.99999999,21.69000053,6.0,10.5,4.5,4.5
2566,7,30.45,13.66,99.99999999,23.31612968,12.0,20.20797680600677,8.20797680600677,8.20797680600677
2566,8,31.79,12.03,99.99999999,24.41935539,13.0,27.335229285424976,14.335229285424976,14.335229285424976
2566,9,30.23,45.07,99.99999999,20.62666702,24.0,21.504985915046234,-2.495014084953766,2.495014084953766
2566,10,29.59,3.54,99.99999999,16.08387184,19.0,39.28829553019787,20.28829553019787,20.28829553019787
2566,11,30.12,4.45,99.99999999,17.04000092,19.0,23.235322009259487,4.235322009259487,4.235322009259487
2566,12,29.71,3.17,32.90000153,16.17741966,14.0,23.548141074620162,9.548141074620162,9.548141074620162
2567,1,27.53,3.14,15.0,15.52580643,10.0,10.694843382915442,0.6948433829154421,0.6948433829154421
2567,2,28.32,5.92,15.89999962,18.37241364,4.0,6.0,2.0,2.0
2567,3,29.63,10.04,55.29999924,20.36774254,2.0,4.43352283823472,2.43352283823472,2.43352283823472
2567,4,31.02,11.79,10.19999981,23.11666679,2.0,4.541451258729389,2.5414512587293894,2.5414512587293894
2567,5,31.74,8.56,99.99999999,18.57096863,4.0,6.96226877275838,2.96226877275838,2.96226877275838
2567,6,31.86,13.9,99.99999999,20.58666611,4.0,7.0,3.0,3.0
2567,7,29.64,20.04,99.99999999,19.15483856,3.0,14.019034800025768,11.019034800025768,11.019034800025768
2567,8,28.94,30.23,95.0,17.10322571,5.0,14.362241200898069,9.362241200898069,9.362241200898069
2567,9,30.27,28.61,99.99999999,16.77666664,5.0,18.957062049858376,13.957062049858376,13.957062049858376
2567,10,29.82,8.09,99.99999999,13.18387127,9.0,18.794917996237533,9.794917996237533,9.794917996237533
2567,11,31.21,6.78,31.60000038,16.25,8.0,16.605747826873053,8.605747826873053,8.605747826873053
2567,12,28.84,2.68,5.5,15.2161293,4.0,14.846895969529784,10.846895969529784,10.846895969529784
2568,1,26.6,2.8,0.1,15.78064537,0.0,8.99287266413275,8.99287266413275,8.99287266413275
2568,2,26.87,6.53,71.09999847,15.69285679,0.0,4.585401557267687,4.585401557267687,4.585401557267687
2568,3,28.86,5.57,84.90000153,16.27742004,0.0,3.7020275830743556,3.7020275830743556,3.7020275830743556
2568,4,29.35,28.18,71.59999847,16.38666725,0.0,2.886296265302379,2.886296265302379,2.886296265302379
2568,5,30.86,42.03,99.99999999,15.15161324,0.0,3.2618416754876245,3.2618416754876245,3.2618416754876245
2568,6,30.38,5.04,99.99999999,18.33666611,0.0,6.5,6.5,6.5
2568,7,29.16,7.84,99.99999999,19.39032173,0.0,6.897310071581417,6.897310071581417,6.897310071581417
2568,8,30.4,20.93,99.99999999,17.79354858,0.0,5.602482511973138,5.602482511973138,5.602482511973138
2568,9,28.78,18.04,99.99999999,16.13333321,0.0,7.942178966876,7.942178966876,7.942178966876
2568,10,29.34,10.04,99.99999999,14.44516087,0.0,9.580749346020319,9.580749346020319,9.580749346020319
2568,11,29.59,6.93,99.99999999,13.57999992,0.0,9.16534756765142,9.16534756765142,9.16534756765142
2568,12,26.7,5.04,8.69999981,13.41935444,0.0,7.8894806559952535,7.8894806559952535,7.8894806559952535
2569,1,27.09,3.89,21.0,13.93870926,0.0,1.3061728123340102,1.3061728123340102,1.3061728123340102
2569,2,27.94,5.29,22.89999962,14.51428604,0.0,3.5,3.5,3.5
2569,3,30.06,7.35,22.20000076,16.81935501,0.0,0.0,0.0,0.0
2569,4,30.56,7.46,24.70000076,18.81666756,0.0,0.11060714941291744,0.11060714941291744,0.11060714941291744
2569,5,30.88,9.77,80.09999847,17.61612892,0.0,2.0,2.0,2.0
2569,6,30.59,8.81,99.99999999,17.95000076,0.0,3.5,3.5,3.5
2569,7,30.02,14.69,99.99999999,19.78709602,0.0,2.2627640704484135,2.2627640704484135,2.2627640704484135
2569,8,30.15,25.04,99.99999999,20.92580605,0.0,1.9587889688984754,1.9587889688984754,1.9587889688984754
