province,year,month,sst,chlor_a,rainfall,wind_speed,actual_mackerel_ton,predicted_mackerel_ton,absolute_error_ton
ชลบุรี,2569,1,27.77,1.33,14.0,17.8484,0.0,27.5954,27.5954
ชลบุรี,2569,2,27.5,1.47,16.5,15.7179,0.0,26.0739,26.0739
ชลบุรี,2569,3,30.13,2.66,28.6,18.4452,0.0,27.8805,27.8805
ชลบุรี,2569,4,30.34,4.65,13.5,19.28,0.0,29.2432,29.2432
ชลบุรี,2569,5,31.32,2.21,96.8,18.5935,0.0,30.6917,30.6917
ชลบุรี,2569,6,30.58,5.28,100.0,20.22,0.0,31.488,31.488
ชลบุรี,2569,7,30.08,7.75,100.0,21.1613,0.0,32.8699,32.8699
ชลบุรี,2569,8,30.13,10.04,100.0,24.0516,0.0,34.7887,34.7887
