province,year,month,sst,chlor_a,rainfall,wind_speed,actual_mackerel_ton,predicted_mackerel_ton,absolute_error_ton
สมุทรสาคร,2569,1,27.59,6.52,14.6,20.171,0.0,78.9925,78.9925
สมุทรสาคร,2569,2,28.05,5.62,24.5,22.4143,0.0,68.8843,68.8843
สมุทรสาคร,2569,3,30.28,4.59,35.8,25.171,0.0,12.4264,12.4264
สมุทรสาคร,2569,4,30.36,4.47,15.1,29.0933,0.0,6.1884,6.1884
สมุทรสาคร,2569,5,31.36,5.04,84.8,26.3548,0.0,0.0,0.0
สมุทรสาคร,2569,6,30.62,6.59,100.0,25.5167,0.0,6.4792,6.4792
สมุทรสาคร,2569,7,30.05,11.57,100.0,26.6065,0.0,14.1335,14.1335
สมุทรสาคร,2569,8,30.3,13.04,100.0,27.6774,0.0,39.7738,39.7738
