province,year,month,sst,chlor_a,rainfall,wind_speed,actual_mackerel_ton,predicted_mackerel_ton,absolute_error_ton
สมุทรสงคราม,2569,1,27.88,6.45,15.2,13.5871,0.0,21.109,21.109
สมุทรสงคราม,2569,2,28.06,5.14,33.3,15.2786,0.0,20.7638,20.7638
สมุทรสงคราม,2569,3,30.3,4.65,7.3,17.3355,0.0,20.2117,20.2117
สมุทรสงคราม,2569,4,30.31,4.17,17.3,19.8733,0.0,19.788,19.788
สมุทรสงคราม,2569,5,31.32,3.74,100.0,16.6839,0.0,21.4306,21.4306
สมุทรสงคราม,2569,6,30.64,7.04,100.0,14.7367,0.0,21.1536,21.1536
สมุทรสงคราม,2569,7,30.07,4.84,100.0,16.0065,0.0,22.0269,22.0269
สมุทรสงคราม,2569,8,30.27,6.04,100.0,17.5613,0.0,22.0717,22.0717
