experiment,feature_set,features,q_low,q_high,config_name,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,mean_accuracy,min_accuracy,std_accuracy,mean_macro_f1,accuracy_2565,f1_2565,rows_2565,accuracy_2566,f1_2566,rows_2566,status,error
122,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.3,0.65,RF_DEPTH_6_BAL,350,6.0,2,2,sqrt,balanced,0.47651515151515156,0.43636363636363634,0.04015151515151519,0.38844013790461374,0.43636363636363634,0.30054226475279106,55,0.5166666666666667,0.47633801105643636,60,OK,
123,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.3,0.65,RF_DEPTH_8_BAL,400,8.0,4,2,sqrt,balanced,0.4575757575757576,0.38181818181818183,0.07575757575757575,0.36033912324234907,0.38181818181818183,0.24249084249084252,55,0.5333333333333333,0.47818740399385556,60,OK,
124,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.3,0.65,RF_DEPTH_10_BAL,400,10.0,4,2,sqrt,balanced,0.4318181818181818,0.36363636363636365,0.06818181818181818,0.3447920374208767,0.36363636363636365,0.2334770114942529,55,0.5,0.45610706334750056,60,OK,
125,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.3,0.65,RF_LEAF_3_BAL,400,,6,3,sqrt,balanced,0.4772727272727273,0.45454545454545453,0.022727272727272735,0.36471520439864136,0.45454545454545453,0.2735042735042735,55,0.5,0.45592613529300924,60,OK,
126,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.3,0.65,RF_FEATURE_07_BAL,400,10.0,4,2,0.7,balanced_subsample,0.4401515151515152,0.36363636363636365,0.07651515151515154,0.37073006936394914,0.36363636363636365,0.265478096079189,55,0.5166666666666667,0.4759820426487093,60,OK,
127,BASE_SSS,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,sss",0.3,0.65,RF_FULL,300,,2,1,sqrt,balanced,0.5272727272727272,0.45454545454545453,0.07272727272727272,0.44579057998473287,0.45454545454545453,0.3518253968253968,55,0.6,0.5397557631440689,60,OK,
128,BASE_SSS,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,sss",0.3,0.65,RF_DEPTH_6_BAL,350,6.0,2,2,sqrt,balanced,0.5537878787878788,0.4909090909090909,0.0628787878787879,0.45330186313792875,0.4909090909090909,0.3732193732193732,55,0.6166666666666667,0.5333843530564842,60,OK,
129,BASE_SSS,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,sss",0.3,0.65,RF_DEPTH_8_BAL,400,8.0,4,2,sqrt,balanced,0.5537878787878788,0.4909090909090909,0.0628787878787879,0.462662479754362,0.4909090909090909,0.3723976608187134,55,0.6166666666666667,0.5529272986900106,60,OK,
130,BASE_SSS,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,sss",0.3,0.65,RF_DEPTH_10_BAL,400,10.0,4,2,sqrt,balanced,0.5454545454545454,0.4909090909090909,0.054545454545454536,0.4478990899909722,0.4909090909090909,0.3723976608187134,55,0.6,0.523400519163231,60,OK,
131,BASE_SSS,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,sss",0.3,0.65,RF_LEAF_3_BAL,400,,6,3,sqrt,balanced,0.5446969696969697,0.4727272727272727,0.07196969696969699,0.44776857602944553,0.4727272727272727,0.3436853002070393,55,0.6166666666666667,0.5518518518518518,60,OK,
