experiment,feature_set,features,q_low,q_high,config_name,decision_name,mean_accuracy,min_accuracy,std_accuracy,mean_macro_f1,accuracy_2565,f1_2565,accuracy_2566,f1_2566,status,error
105,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,FULL_BALANCED,P_LOW_105_MED_105,0.571969696969697,0.5272727272727272,0.04469696969696974,0.48928459689172255,0.5272727272727272,0.39621337755666114,0.6166666666666667,0.582355816226784,OK,
106,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,FULL_LOW_12_MED_12,P_NORMAL,0.553030303030303,0.4727272727272727,0.08030303030303029,0.48358308966861596,0.4727272727272727,0.36299951267056524,0.6333333333333333,0.6041666666666666,OK,
107,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,FULL_LOW_12_MED_12,P_LOW_105,0.553030303030303,0.4727272727272727,0.08030303030303029,0.4873552003647462,0.4727272727272727,0.3638262322472849,0.6333333333333333,0.6108841684822076,OK,
108,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,FULL_LOW_12_MED_12,P_LOW_110,0.553030303030303,0.4727272727272727,0.08030303030303029,0.4873552003647462,0.4727272727272727,0.3638262322472849,0.6333333333333333,0.6108841684822076,OK,
109,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,FULL_LOW_12_MED_12,P_MED_105,0.553030303030303,0.4727272727272727,0.08030303030303029,0.49271768536474414,0.4727272727272727,0.3838013838013838,0.6333333333333333,0.6016339869281045,OK,
110,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,FULL_LOW_12_MED_12,P_LOW_105_MED_105,0.543939393939394,0.45454545454545453,0.08939393939393939,0.48201658500915295,0.45454545454545453,0.3531490015360983,0.6333333333333333,0.6108841684822076,OK,
111,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,FULL_LOW_12_MED_14,P_NORMAL,0.5287878787878788,0.4909090909090909,0.03787878787878787,0.4539144430448778,0.4909090909090909,0.3565468348077044,0.5666666666666667,0.5512820512820512,OK,
112,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,FULL_LOW_12_MED_14,P_LOW_105,0.5371212121212121,0.4909090909090909,0.04621212121212123,0.46333410834689603,0.4909090909090909,0.3565468348077044,0.5833333333333334,0.5701213818860876,OK,
113,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,FULL_LOW_12_MED_14,P_LOW_110,0.5280303030303031,0.4727272727272727,0.055303030303030326,0.4717586279151036,0.4727272727272727,0.3733958739441195,0.5833333333333334,0.5701213818860876,OK,
114,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,FULL_LOW_12_MED_14,P_MED_105,0.5022727272727273,0.45454545454545453,0.04772727272727276,0.43491400348017994,0.45454545454545453,0.33238636363636365,0.55,0.5374416433239962,OK,
